cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_0,0,-1,0,-1,63,0,32,24,0,99,47,0,24,47,4,-1,-1,0,0,7,0,30,-1,-1,0,0,87,16,-1,83,0,-1,67,0,-1,11,86,54,0
cell_1,86,93,-1,0,0,0,-1,42,0,0,0,0,48,50,89,-1,-1,0,46,90,87,0,64,0,0,22,49,0,0,0,0,93,0,-1,0,53,0,-1,-1
cell_2,99,-1,51,52,0,33,0,0,0,95,3,0,99,0,-1,66,0,86,41,0,-1,0,28,0,45,-1,22,93,0,3,9,33,-1,19,80,29,-1,24,-1
cell_3,69,11,0,71,2,0,-1,0,-1,0,70,-1,0,47,-1,67,43,4,28,39,74,-1,0,36,0,0,0,0,0,0,-1,0,0,0,95,-1,6,0,29
cell_4,0,0,0,75,95,0,95,0,21,0,73,66,86,65,95,0,0,95,98,60,0,23,0,79,0,0,-1,-1,-1,0,-1,67,-1,0,63,-1,0,95,73
cell_5,65,0,85,0,45,0,31,72,0,0,73,98,75,0,78,-1,15,47,0,-1,0,-1,18,31,88,2,0,-1,0,82,-1,66,40,-1,65,-1,-1,0,0
cell_6,-1,0,20,46,-1,78,35,-1,0,-1,48,0,69,0,11,0,46,65,0,66,-1,0,61,95,0,-1,-1,-1,-1,29,-1,36,0,85,0,79,0,-1,-1
cell_7,59,0,0,0,0,0,0,0,0,0,12,65,0,43,83,58,-1,0,-1,0,0,0,-1,34,6,0,0,43,-1,-1,-1,0,35,0,0,-1,46,-1,0
cell_8,59,-1,3,0,0,-1,8,0,31,91,63,0,0,68,-1,40,57,0,21,-1,-1,39,-1,16,64,74,17,0,-1,0,-1,0,0,0,0,0,26,-1,-1
cell_9,-1,0,0,59,0,36,0,14,7,-1,40,0,-1,0,-1,93,60,-1,0,0,0,73,0,35,-1,52,0,0,0,27,0,-1,0,95,0,99,-1,0,0
cell_10,-1,-1,-1,-1,0,1,-1,-1,-1,0,80,-1,0,0,18,0,-1,0,-1,-1,0,18,0,0,-1,32,0,0,88,36,-1,0,-1,31,89,-1,6,0,12
cell_11,18,50,0,12,16,29,-1,68,14,8,77,14,37,0,0,0,0,48,24,56,0,-1,0,29,-1,43,82,-1,6,72,-1,0,0,8,-1,0,66,0,51
cell_12,0,0,0,2,-1,5,86,43,-1,0,7,15,2,55,-1,7,62,-1,72,0,21,0,1,88,71,0,82,41,0,0,-1,0,-1,0,-1,0,-1,42,0
cell_13,0,78,53,0,83,0,0,32,99,28,12,-1,0,51,-1,35,-1,32,55,23,38,0,-1,57,31,88,0,52,0,0,0,0,93,0,0,0,0,-1,-1
cell_14,9,0,68,81,-1,1,-1,58,35,73,53,-1,0,17,39,-1,43,-1,0,56,0,-1,-1,52,0,0,31,0,-1,-1,0,37,79,8,0,0,0,13,50
cell_15,2,10,0,0,0,40,1,-1,55,-1,50,19,-1,-1,86,0,-1,-1,0,59,-1,72,0,62,60,25,74,0,0,0,90,0,88,0,63,86,0,0,-1
cell_16,100,75,-1,0,0,0,0,98,-1,0,-1,20,13,0,0,76,0,0,-1,-1,93,95,0,75,0,-1,-1,15,-1,0,-1,40,32,30,0,21,-1,0,-1
cell_17,0,0,48,43,0,0,27,17,34,76,0,0,0,27,36,35,-1,0,-1,0,79,0,0,-1,0,-1,0,67,0,-1,48,97,-1,0,0,0,0,0,80
cell_18,-1,49,-1,-1,49,0,0,88,-1,22,-1,-1,-1,-1,31,71,0,0,-1,40,0,18,99,-1,77,27,-1,0,17,-1,61,96,0,83,19,90,-1,0,-1
cell_19,0,96,-1,-1,-1,94,13,0,0,29,100,0,60,0,0,61,89,89,53,8,0,0,0,0,0,73,83,0,0,-1,0,-1,0,-1,0,43,0,0,0
cell_20,5,-1,0,-1,0,0,-1,0,90,53,43,52,16,0,37,0,40,1,-1,73,12,-1,0,71,76,29,0,27,0,0,-1,-1,0,34,0,-1,0,0,0
cell_21,0,0,39,0,47,52,-1,-1,36,62,43,0,-1,8,0,94,64,7,60,22,60,27,-1,0,-1,-1,0,44,0,-1,62,0,0,46,-1,72,45,29,0
