cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_0,-1,-1,-1,0,-1,0,46,0,-1,0,0,0,0,0,56,0,72,-1,54,-1,65,0,0,0,-1,35,89,-1,24,0,77,6,97,0,0,58,-1,48,-1
cell_1,86,78,-1,-1,0,0,0,43,64,-1,75,75,0,0,0,61,0,0,0,0,91,13,0,89,0,56,30,65,-1,-1,0,71,0,0,0,0,0,1,7
cell_2,98,0,0,5,0,73,39,13,0,-1,9,0,0,0,-1,7,0,0,-1,0,47,-1,-1,0,0,4,-1,-1,29,-1,31,0,-1,-1,0,78,0,-1,-1
cell_3,0,77,0,67,0,98,0,65,0,0,0,-1,0,-1,-1,0,0,0,41,-1,87,25,0,0,26,0,45,-1,0,0,1,11,0,53,23,97,0,0,72
cell_4,7,0,-1,23,-1,29,-1,-1,-1,0,0,64,-1,49,0,0,0,58,79,0,64,0,-1,93,88,-1,8,97,0,49,0,0,71,85,-1,36,-1,-1,34
cell_5,-1,0,40,0,92,-1,0,-1,0,-1,64,0,-1,-1,90,98,0,0,0,0,-1,0,-1,0,31,40,70,39,0,67,44,0,-1,33,0,-1,9,98,0
cell_6,-1,37,0,16,0,20,0,-1,0,0,47,0,0,0,17,-1,1,69,0,18,21,0,52,54,-1,12,11,0,40,-1,0,-1,-1,0,0,11,53,0,64
cell_7,0,0,-1,32,48,56,84,60,0,-1,83,0,0,-1,9,0,85,-1,61,83,28,68,0,12,0,42,-1,0,0,-1,74,89,86,0,-1,56,-1,-1,0
cell_8,-1,0,0,0,0,-1,25,-1,10,0,49,0,-1,14,0,-1,76,25,0,-1,46,38,0,0,-1,39,78,-1,0,0,-1,0,-1,0,0,-1,0,-1,0
cell_9,-1,0,34,32,0,0,-1,0,0,0,0,0,45,54,0,88,-1,0,-1,0,35,58,76,0,0,52,75,66,0,22,84,-1,0,35,0,0,28,75,0
cell_10,0,71,0,48,3,94,27,80,33,0,0,0,61,0,-1,0,82,0,0,0,2,0,0,61,45,-1,-1,-1,0,-1,0,95,0,-1,47,0,18,0,55
cell_11,0,0,0,-1,0,-1,4,-1,0,79,0,0,-1,0,0,54,0,0,0,0,0,0,0,-1,-1,0,7,0,-1,35,-1,61,0,0,13,0,62,8,42
cell_12,0,0,-1,-1,-1,78,0,0,0,42,-1,84,0,-1,32,91,0,20,92,-1,0,-1,0,-1,86,0,-1,0,0,0,0,0,-1,0,-1,65,-1,100,58
cell_13,89,0,67,0,28,15,95,0,0,0,0,-1,61,59,2,0,93,0,96,0,93,47,91,0,0,76,5,59,0,60,-1,73,-1,0,0,80,50,0,56
cell_14,0,-1,92,87,25,0,59,5,77,0,70,58,80,24,0,0,63,0,50,0,0,-1,10,29,43,0,0,-1,0,-1,-1,0,0,13,0,24,-1,0,2
cell_15,0,60,0,0,27,30,0,0,70,-1,0,0,35,-1,47,-1,1,-1,0,0,-1,74,98,0,26,0,99,0,0,72,19,11,60,40,0,0,0,0,79
cell_16,0,0,52,70,18,0,65,26,0,0,-1,0,85,0,-1,82,0,0,67,0,22,24,-1,0,0,12,-1,0,0,0,-1,0,95,0,0,75,39,0,0
cell_17,14,76,0,61,17,-1,61,30,0,0,-1,66,54,68,0,-1,0,64,45,0,36,92,38,-1,36,71,0,0,0,98,-1,-1,65,0,0,50,-1,10,0
cell_18,57,-1,8,11,2,60,-1,90,60,16,0,0,0,86,3,0,0,0,-1,55,8,-1,0,-1,87,0,0,0,96,0,57,0,-1,0,-1,54,0,54,0
cell_19,0,-1,39,82,53,47,97,0,100,78,0,0,0,0,3,0,74,0,0,64,0,66,85,0,-1,-1,-1,0,82,0,81,14,-1,34,69,0,0,0,-1
cell_20,35,0,0,-1,92,-1,0,0,0,0,69,0,-1,-1,0,0,-1,52,76,0,0,42,-1,55,-1,59,-1,28,0,0,73,0,16,0,0,0,0,44,0
