cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_0,50,96,49,-1,75,-1,0,0,-1,54,2,14,0,-1,0,47,0,-1,0,30,40,12,30,0,0,83,-1,11,0,73,66,0,0,70,0,0,96,20,0
cell_1,52,0,-1,0,14,-1,42,0,42,0,-1,67,0,0,22,6,0,0,-1,72,-1,0,-1,0,0,76,0,-1,0,0,31,7,5,0,-1,27,0,7,-1
cell_2,0,0,-1,11,31,0,0,-1,11,0,86,94,83,0,0,46,97,0,20,26,0,0,94,-1,0,0,15,0,0,0,-1,39,-1,0,0,0,0,75,26
cell_3,0,0,41,0,0,71,0,0,6,79,37,94,32,11,61,0,-1,-1,-1,-1,0,4,0,0,-1,42,61,0,0,0,80,0,0,0,0,-1,-1,30,-1
cell_4,0,0,0,55,-1,0,40,0,76,-1,75,0,93,5,0,-1,7,94,0,0,3,0,99,0,26,36,-1,0,5,0,0,0,-1,86,0,0,72,-1,91
cell_5,0,0,0,0,0,0,0,0,25,-1,49,-1,100,0,-1,0,93,40,0,-1,98,72,-1,100,0,0,34,25,-1,-1,0,58,0,-1,-1,0,0,0,-1
cell_6,79,0,0,0,18,-1,0,-1,-1,0,80,26,1,0,6,59,77,0,0,0,0,0,23,64,0,0,37,0,68,35,86,57,0,16,0,0,0,30,33
cell_7,0,61,-1,0,74,0,-1,73,0,0,0,-1,-1,82,-1,73,0,0,0,44,0,0,0,-1,17,-1,77,23,92,0,33,61,0,65,0,0,35,0,97
cell_8,0,-1,-1,0,0,0,0,0,24,-1,32,-1,84,0,93,0,0,27,-1,-1,0,0,84,-1,0,0,0,89,-1,85,-1,1,0,0,0,32,42,57,0
cell_9,0,18,76,0,-1,0,-1,95,0,0,-1,59,56,0,5,89,0,0,0,0,0,-1,0,-1,96,56,84,-1,0,-1,34,0,0,40,-1,22,53,94,-1
cell_10,0,23,85,34,0,0,0,0,57,39,0,-1,38,0,0,0,0,35,0,55,89,32,71,0,0,0,17,99,0,38,17,-1,0,85,15,0,47,45,0
