cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_0,0,78,0,71,20,-1,31,0,10,-1,70,-1,36,-1,65,42,0,56,0,67,51,0,71,55,0,2,-1,3,-1,-1,30,59,-1,0,-1,5,-1,-1,0
cell_1,0,50,-1,36,0,0,-1,25,66,0,74,0,-1,18,25,0,16,0,45,42,1,0,-1,0,57,0,0,-1,0,0,0,88,74,0,0,58,0,0,76
cell_2,0,-1,64,-1,-1,97,0,87,0,67,34,-1,-1,0,-1,-1,0,0,83,0,0,34,16,4,15,73,0,0,83,0,99,0,0,-1,-1,91,63,64,-1
cell_3,45,76,0,0,5,27,0,47,-1,0,-1,-1,-1,-1,9,46,-1,79,99,0,76,86,73,0,74,0,83,94,100,73,0,-1,0,44,19,82,-1,0,43
cell_4,96,0,0,0,-1,0,24,-1,-1,70,0,-1,0,86,0,39,58,14,0,0,15,47,15,0,0,-1,58,23,-1,1,47,0,28,56,0,47,26,0,27
cell_5,91,-1,10,0,97,16,93,6,0,0,66,74,0,18,58,-1,-1,0,0,0,-1,0,0,90,-1,0,71,-1,76,0,17,0,73,31,-1,7,0,0,0
cell_6,1,0,0,0,0,37,84,0,-1,81,0,0,38,-1,0,81,71,0,59,0,-1,0,-1,-1,0,0,0,98,95,0,0,90,3,-1,20,0,0,6,22
cell_7,0,0,0,11,0,0,0,-1,38,67,26,83,64,45,5,0,65,0,-1,0,0,39,0,-1,67,98,0,20,-1,-1,81,59,0,-1,4,0,76,0,0
cell_8,0,-1,99,39,0,-1,0,33,0,97,0,0,0,0,56,-1,36,0,0,19,19,0,0,-1,0,5,0,9,0,0,-1,0,-1,12,17,84,-1,-1,-1
cell_9,47,0,-1,-1,49,22,9,92,65,79,64,0,18,0,0,95,0,0,-1,0,85,0,0,-1,86,0,7,47,70,76,0,79,-1,-1,80,49,-1,0,0
cell_10,0,5,0,0,71,12,59,0,0,74,95,0,-1,-1,0,0,-1,32,25,17,-1,-1,17,9,0,-1,0,42,19,30,50,72,87,0,0,0,75,0,66
cell_11,-1,0,0,33,0,-1,-1,38,0,97,100,0,21,76,31,35,37,42,58,22,0,0,64,0,0,20,78,-1,0,-1,61,75,24,0,0,60,0,18,-1
cell_12,0,-1,-1,32,-1,78,10,0,23,0,17,18,-1,0,41,4,0,45,70,69,65,-1,44,0,71,0,0,-1,-1,49,51,25,5,-1,-1,0,23,0,0
cell_13,86,71,45,-1,-1,3,0,0,-1,32,-1,42,39,13,0,68,0,-1,97,-1,40,3,1,-1,0,56,87,29,0,-1,-1,27,3,0,13,-1,47,24,0
cell_14,82,0,95,0,36,42,-1,24,68,0,0,42,55,0,17,78,0,13,3,-1,87,0,43,0,86,0,24,37,-1,-1,100,81,-1,0,-1,0,28,0,19
cell_15,-1,5,87,0,0,0,-1,-1,8,0,58,39,0,0,0,-1,-1,-1,-1,90,50,78,0,28,93,80,0,82,0,-1,0,85,-1,59,0,61,-1,0,57
cell_16,81,77,0,-1,0,28,65,0,24,88,0,40,-1,6,47,54,84,57,35,0,13,31,33,0,0,0,0,0,0,0,52,34,83,0,0,0,-1,0,0
cell_17,72,-1,-1,0,94,11,0,0,25,3,88,9,8,-1,57,31,38,96,44,58,58,0,0,-1,0,31,0,1,-1,72,75,0,0,0,44,81,0,0,-1
cell_18,0,93,0,0,-1,47,25,-1,99,0,43,0,50,0,0,63,71,-1,82,95,0,0,0,15,-1,18,-1,20,-1,-1,23,34,-1,-1,-1,0,-1,0,0
cell_19,75,-1,0,-1,-1,80,-1,0,-1,0,60,68,-1,0,0,0,44,12,0,-1,1,8,93,-1,0,3,95,10,7,61,22,57,0,-1,32,0,0,0,0
cell_20,27,0,0,97,0,0,0,57,0,-1,0,0,0,0,-1,-1,1,61,46,-1,72,44,67,0,-1,0,0,-1,0,96,0,36,18,-1,0,0,74,0,26
cell_21,25,0,43,-1,-1,91,0,98,0,0,-1,0,-1,0,77,-1,0,-1,37,-1,4,-1,0,0,0,24,26,40,0,-1,0,0,0,0,35,37,36,8,0
cell_22,-1,0,-1,10,-1,-1,0,0,22,0,0,83,88,87,-1,0,38,0,50,-1,8,0,0,52,-1,30,87,0,69,59,46,0,0,100,0,72,81,-1,22
cell_23,57,0,0,0,-1,-1,20,0,1,65,0,-1,0,0,69,12,0,0,0,17,14,55,40,39,45,-1,-1,0,0,13,4,15,13,-1,0,-1,0,0,-1
cell_24,85,0,0,0,16,0,0,95,56,-1,-1,66,0,0,-1,56,0,0,80,0,0,0,-1,0,74,0,88,18,-1,0,3,-1,92,0,-1,0,96,0,0
cell_25,0,41,-1,0,-1,0,22,5,0,0,0,-1,2,0,12,0,1,98,0,80,98,-1,0,0,0,0,70,12,0,0,35,0,0,0,10,75,-1,0,-1
cell_26,97,-1,0,22,0,-1,0,-1,-1,0,86,0,0,0,78,82,2,87,80,97,0,77,0,-1,0,-1,-1,3,87,0,-1,0,0,89,50,0,-1,-1,43
cell_27,67,6,15,4,-1,0,45,0,0,61,61,0,-1,0,0,13,6,61,5,25,-1,23,0,0,0,69,73,98,0,-1,92,97,-1,10,91,0,0,0,-1
cell_28,0,19,0,92,0,0,0,0,0,24,0,-1,0,97,88,0,0,0,94,0,-1,0,0,50,0,0,0,0,0,64,-1,-1,0,-1,91,0,69,43,0
cell_29,-1,34,24,0,0,-1,0,-1,-1,34,-1,67,81,56,0,0,33,82,88,85,40,42,0,0,-1,0,0,-1,-1,0,53,0,7,0,0,0,21,0,17
cell_30,86,0,0,-1,0,0,100,51,70,91,-1,28,12,-1,63,0,0,0,17,0,99,0,-1,22,0,0,20,14,-1,39,0,52,0,0,-1,0,0,0,15
cell_31,0,0,0,0,60,-1,32,0,88,0,80,40,0,0,0,63,-1,0,36,-1,-1,69,29,56,42,0,15,62,0,10,0,67,0,0,0,0,59,5,0
